process,co2,study,variable,study_site,species,Plotted,interpret_var,start_year,end_year,ambient_co2,elevated_co2,variable_response_ratio,95CI_var,co2_response_ratio,95_CI_co2,beta,95CI_beta
NEP,eCO2,Evans et al. (2014),C_veg_abg,FACE NDFF,Desert,,Cveg_ag,,,375,513,-13,30,37,5.6,-0.44,1.1
NEP,eCO2,Baig et al. (2015),C_veg_abg_inc,"eCO2 meta-analysis, factorial studies",Multi-biome,,ANPP,,,362.5,665,21,11,83,6.1,0.32,0.15
NEP,eCO2,Hattenschwiler et al. (1997),C_wood,eCO2 spring Laiatico,Quercus ilex,C_veg,Cwood,30,,345,650,16,,88,,0.23,
NEP,eCO2,Hattenschwiler et al. (1997),C_wood,eCO2 spring Rapolano,Quercus ilex,C_veg,Cwood,30,,345,650,28,,88,,0.39,
NEP,iCO2,Hubau et al. (2020),C_wood,Inventory,Tropical Amazon,C_veg,Cwood,1983,2014,342.01,396.7,12,,16,2.2,0.77,
NEP,iCO2,Brienen et al. (2015),C_wood_abg,Inventory,Tropical Africa,C_veg,Cwood_ag,1983,2011,342.01,389.79,7.5,,14,,0.55,
NEP,iCO2,McMahon et al. (2011),C_wood_abg,"Inventory, 100 years",Temperate forest,C_veg,Cwood_ag,1987,2005,348.17,378.23,18,3.6,8.6,2.1,2,0.59
NEP,iCO2,McMahon et al. (2011),C_wood_abg,"Inventory, 50 years",Temperate forest,C_veg,Cwood_ag,1987,2005,348.17,378.23,27,5.7,8.6,2.1,2.9,0.87
NEP,iCO2,Qie et al. (2017),C_wood_abg,Inventory,"Borneo, intact plots",C_veg,Cwood_ag,1985,2010,344.99,387.99,5.8,3.4,12,2.2,0.48,0.28
NEP,iCO2,Yu et al. (2019),C_wood_abv,Inventory,Boreal,,Cwood_ag,2001,2008,369.79,384.15,NA,NA,NA,NA,NA,NA
NEP,iCO2,Yu et al. (2019),C_wood_abv,Inventory,Panbiome,C_veg,Cwood_ag,1990,2008,353.2,384.15,7.1,2.4,8.8,2.1,0.82,0.32
NEP,iCO2,Yu et al. (2019),C_wood_abv,Inventory,Temperate,,Cwood_ag,1990,2004,353.2,376.12,NA,NA,NA,NA,NA,NA
NEP,iCO2,Yu et al. (2019),C_wood_abv,Inventory,Tropical,,Cwood_ag,1994,2009,357.62,385.81,NA,NA,NA,NA,NA,NA
NEP,iCO2,Brienen et al. (2015),C_wood_inc,Inventory,Tropical Amazon,C_veg_inc,NPPwood,1983,2011,342.01,389.79,NA,NA,NA,NA,NA,NA
NEP,iCO2,Hubau et al. (2020),C_wood_inc,Inventory,Tropical Africa,C_veg_inc,NPPwood,1983,2014,342.01,396.7,NA,NA,NA,NA,NA,NA
